Tonnes Co2e,country_full,country,sector,subsector,start,end
0,United Arab Emirates,ARE,extraction,iron mining,2020-01-01,2021-01-01
107256,United Arab Emirates,ARE,extraction,rock quarry,2020-01-01,2021-01-01
12268,United Arab Emirates,ARE,extraction,sand quarry,2020-01-01,2021-01-01
8299947,United Arab Emirates,ARE,manufacturing,aluminum,2020-01-01,2021-01-01
,United Arab Emirates,ARE,manufacturing,cement production,2020-01-01,2021-01-01
,United Arab Emirates,ARE,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,United Arab Emirates,ARE,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,United Arab Emirates,ARE,manufacturing,glass production,2020-01-01,2021-01-01
,United Arab Emirates,ARE,manufacturing,lime production,2020-01-01,2021-01-01
,United Arab Emirates,ARE,manufacturing,nitric acid production,2020-01-01,2021-01-01
73215250,United Arab Emirates,ARE,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,manufacturing,petrochemicals,2020-01-01,2021-01-01
79153,United Arab Emirates,ARE,manufacturing,pulp paper,2020-01-01,2021-01-01
737659,United Arab Emirates,ARE,manufacturing,steel,2020-01-01,2021-01-01
134440,United Arab Emirates,ARE,maritime,shipping,2020-01-01,2021-01-01
61097146,United Arab Emirates,ARE,oil and gas,oil and gas production,2020-01-01,2021-01-01
13292424,United Arab Emirates,ARE,oil and gas,oil refining,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
79421000,United Arab Emirates,ARE,power,electricity generation,2020-01-01,2021-01-01
5214680,United Arab Emirates,ARE,power,other energy use,2020-01-01,2021-01-01
11631261,United Arab Emirates,ARE,transport,aviation,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,transport,other transportation,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,transport,railways,2020-01-01,2021-01-01
36273080,United Arab Emirates,ARE,transport,roads,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,United Arab Emirates,ARE,waste,open burning waste,2020-01-01,2021-01-01
5544000,United Arab Emirates,ARE,waste,solid waste disposal,2020-01-01,2021-01-01
1951600,United Arab Emirates,ARE,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
4769912,Argentina,ARG,agriculture,cropland fires,2020-01-01,2021-01-01
90291869,Argentina,ARG,agriculture,enteric fermentation,2020-01-01,2021-01-01
36966848,Argentina,ARG,agriculture,managed soils,2020-01-01,2021-01-01
2448892,Argentina,ARG,agriculture,manure management,2020-01-01,2021-01-01
1436932,Argentina,ARG,agriculture,rice cultivation,2020-01-01,2021-01-01
0,Argentina,ARG,buildings,cooking,2020-01-01,2021-01-01
0,Argentina,ARG,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
37100480,Argentina,ARG,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Argentina,ARG,extraction,bauxite mining,2020-01-01,2021-01-01
,Argentina,ARG,extraction,coal mining,2020-01-01,2021-01-01
39709,Argentina,ARG,extraction,copper mining,2020-01-01,2021-01-01
0,Argentina,ARG,extraction,iron mining,2020-01-01,2021-01-01
54103,Argentina,ARG,extraction,rock quarry,2020-01-01,2021-01-01
15841,Argentina,ARG,extraction,sand quarry,2020-01-01,2021-01-01
722973,Argentina,ARG,manufacturing,aluminum,2020-01-01,2021-01-01
4431938,Argentina,ARG,manufacturing,cement production,2020-01-01,2021-01-01
,Argentina,ARG,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Argentina,ARG,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Argentina,ARG,manufacturing,glass production,2020-01-01,2021-01-01
,Argentina,ARG,manufacturing,lime production,2020-01-01,2021-01-01
,Argentina,ARG,manufacturing,nitric acid production,2020-01-01,2021-01-01
27545438,Argentina,ARG,manufacturing,other manufacturing,2020-01-01,2021-01-01
1565251,Argentina,ARG,manufacturing,petrochemicals,2020-01-01,2021-01-01
533496,Argentina,ARG,manufacturing,pulp paper,2020-01-01,2021-01-01
3076507,Argentina,ARG,manufacturing,steel,2020-01-01,2021-01-01
240162,Argentina,ARG,maritime,shipping,2020-01-01,2021-01-01
40340835,Argentina,ARG,oil and gas,oil and gas production,2020-01-01,2021-01-01
11575354,Argentina,ARG,oil and gas,oil refining,2020-01-01,2021-01-01
2603028,Argentina,ARG,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
47335000,Argentina,ARG,power,electricity generation,2020-01-01,2021-01-01
1783064,Argentina,ARG,power,other energy use,2020-01-01,2021-01-01
1685420,Argentina,ARG,transport,aviation,2020-01-01,2021-01-01
1970983,Argentina,ARG,transport,other transportation,2020-01-01,2021-01-01
0,Argentina,ARG,transport,railways,2020-01-01,2021-01-01
40691468,Argentina,ARG,transport,roads,2020-01-01,2021-01-01
0,Argentina,ARG,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
669400,Argentina,ARG,waste,open burning waste,2020-01-01,2021-01-01
5852000,Argentina,ARG,waste,solid waste disposal,2020-01-01,2021-01-01
9996000,Argentina,ARG,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
34992,Armenia,ARM,agriculture,cropland fires,2020-01-01,2021-01-01
704844,Armenia,ARM,agriculture,enteric fermentation,2020-01-01,2021-01-01
781564,Armenia,ARM,agriculture,managed soils,2020-01-01,2021-01-01
57290,Armenia,ARM,agriculture,manure management,2020-01-01,2021-01-01
0,Armenia,ARM,agriculture,rice cultivation,2020-01-01,2021-01-01
190000,Armenia,ARM,buildings,cooking,2020-01-01,2021-01-01
0,Armenia,ARM,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
1761572,Armenia,ARM,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Armenia,ARM,extraction,bauxite mining,2020-01-01,2021-01-01
,Armenia,ARM,extraction,coal mining,2020-01-01,2021-01-01
102968,Armenia,ARM,extraction,copper mining,2020-01-01,2021-01-01
0,Armenia,ARM,extraction,iron mining,2020-01-01,2021-01-01
1680,Armenia,ARM,extraction,rock quarry,2020-01-01,2021-01-01
434,Armenia,ARM,extraction,sand quarry,2020-01-01,2021-01-01
,Armenia,ARM,manufacturing,aluminum,2020-01-01,2021-01-01
58703,Armenia,ARM,manufacturing,cement production,2020-01-01,2021-01-01
,Armenia,ARM,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Armenia,ARM,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Armenia,ARM,manufacturing,glass production,2020-01-01,2021-01-01
,Armenia,ARM,manufacturing,lime production,2020-01-01,2021-01-01
,Armenia,ARM,manufacturing,nitric acid production,2020-01-01,2021-01-01
394568,Armenia,ARM,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Armenia,ARM,manufacturing,petrochemicals,2020-01-01,2021-01-01
1309,Armenia,ARM,manufacturing,pulp paper,2020-01-01,2021-01-01
,Armenia,ARM,manufacturing,steel,2020-01-01,2021-01-01
0,Armenia,ARM,maritime,shipping,2020-01-01,2021-01-01
